"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2020","6,739.45","6,759.40","6,782.85","6,726.75","","0.27%"
"01/28/2020","6,721.15","6,741.55","6,763.30","6,703.25","","-0.17%"
"01/27/2020","6,732.30","6,726.30","6,794.10","6,716.65","","-0.15%"
"01/24/2020","6,742.45","6,695.45","6,753.35","6,681.75","","0.79%"
"01/23/2020","6,689.70","6,616.65","6,701.00","6,614.75","","1.27%"
"01/22/2020","6,606.05","6,654.15","6,654.40","6,601.45","","-0.20%"
"01/21/2020","6,619.45","6,607.15","6,640.05","6,598.80","","-0.11%"
"01/20/2020","6,626.65","6,678.40","6,680.05","6,621.40","","-0.44%"
"01/17/2020","6,655.80","6,629.70","6,666.05","6,618.00","","0.45%"
"01/16/2020","6,625.75","6,592.65","6,629.95","6,591.20","","0.83%"
"01/15/2020","6,571.15","6,514.50","6,577.20","6,505.85","","0.92%"
"01/14/2020","6,511.10","6,481.00","6,515.65","6,472.75","","0.70%"
"01/13/2020","6,465.75","6,450.05","6,473.90","6,449.00","","0.67%"
"01/10/2020","6,422.95","6,422.45","6,461.70","6,413.60","","0.30%"
"01/09/2020","6,403.55","6,370.75","6,413.10","6,369.40","","1.40%"
"01/08/2020","6,315.40","6,248.45","6,319.70","6,229.75","","0.18%"
"01/07/2020","6,303.85","6,296.45","6,349.65","6,274.50","","0.72%"
"01/06/2020","6,258.80","6,370.50","6,373.00","6,251.00","","-2.12%"
"01/03/2020","6,394.50","6,420.00","6,430.65","6,377.20","","-0.44%"
"01/02/2020","6,422.85","6,354.70","6,425.30","6,350.60","","1.24%"
"01/01/2020","6,343.95","6,335.70","6,353.20","6,321.15","","0.35%"
"12/31/2019","6,321.60","6,312.55","6,334.20","6,309.05","","0.16%"
"12/30/2019","6,311.80","6,297.00","6,316.45","6,289.55","","0.41%"
"12/27/2019","6,285.95","6,247.05","6,291.40","6,246.30","","0.90%"
"12/26/2019","6,229.80","6,230.50","6,236.45","6,222.20","","0.14%"
"12/24/2019","6,221.10","6,236.25","6,244.30","6,216.15","","-0.11%"
"12/23/2019","6,228.10","6,237.30","6,262.50","6,215.05","","-0.18%"
"12/20/2019","6,239.15","6,245.15","6,261.70","6,232.65","","-0.01%"
"12/19/2019","6,240.00","6,229.50","6,246.70","6,216.25","","0.14%"
"12/18/2019","6,231.00","6,257.00","6,260.85","6,209.75","","-0.26%"
"12/17/2019","6,247.15","6,230.45","6,250.30","6,216.00","","0.50%"
"12/16/2019","6,215.80","6,260.60","6,267.40","6,207.75","","-0.44%"
"12/13/2019","6,243.00","6,205.15","6,248.70","6,204.35","","0.91%"
