"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","16 Jun 2020","-","-","-","4497.83"
"NIFTY TOTAL MARKET","15 Jun 2020","-","-","-","4461.93"
"NIFTY TOTAL MARKET","12 Jun 2020","-","-","-","4521.45"
"NIFTY TOTAL MARKET","11 Jun 2020","-","-","-","4488.90"
"NIFTY TOTAL MARKET","10 Jun 2020","-","-","-","4574.46"
"NIFTY TOTAL MARKET","09 Jun 2020","-","-","-","4543.72"
"NIFTY TOTAL MARKET","08 Jun 2020","-","-","-","4591.15"
"NIFTY TOTAL MARKET","05 Jun 2020","-","-","-","4576.56"
"NIFTY TOTAL MARKET","04 Jun 2020","-","-","-","4512.15"
"NIFTY TOTAL MARKET","03 Jun 2020","-","-","-","4521.15"
"NIFTY TOTAL MARKET","02 Jun 2020","-","-","-","4484.53"
"NIFTY TOTAL MARKET","01 Jun 2020","-","-","-","4419.37"
"NIFTY TOTAL MARKET","29 May 2020","-","-","-","4310.30"
"NIFTY TOTAL MARKET","28 May 2020","-","-","-","4260.67"
"NIFTY TOTAL MARKET","27 May 2020","-","-","-","4185.41"
"NIFTY TOTAL MARKET","26 May 2020","-","-","-","4091.82"
"NIFTY TOTAL MARKET","22 May 2020","-","-","-","4086.90"
"NIFTY TOTAL MARKET","21 May 2020","-","-","-","4116.89"
"NIFTY TOTAL MARKET","20 May 2020","-","-","-","4092.44"
"NIFTY TOTAL MARKET","19 May 2020","-","-","-","4014.63"
"NIFTY TOTAL MARKET","18 May 2020","-","-","-","3993.66"
"NIFTY TOTAL MARKET","15 May 2020","-","-","-","4136.08"
"NIFTY TOTAL MARKET","14 May 2020","-","-","-","4141.68"
"NIFTY TOTAL MARKET","13 May 2020","-","-","-","4224.84"
"NIFTY TOTAL MARKET","12 May 2020","-","-","-","4144.23"
"NIFTY TOTAL MARKET","11 May 2020","-","-","-","4163.83"
"NIFTY TOTAL MARKET","08 May 2020","-","-","-","4161.42"
"NIFTY TOTAL MARKET","07 May 2020","-","-","-","4144.87"
"NIFTY TOTAL MARKET","06 May 2020","-","-","-","4174.70"
"NIFTY TOTAL MARKET","05 May 2020","-","-","-","4146.07"
"NIFTY TOTAL MARKET","04 May 2020","-","-","-","4186.71"
"NIFTY TOTAL MARKET","30 Apr 2020","-","-","-","4415.03"
"NIFTY TOTAL MARKET","29 Apr 2020","-","-","-","4297.67"
"NIFTY TOTAL MARKET","28 Apr 2020","-","-","-","4229.17"
"NIFTY TOTAL MARKET","27 Apr 2020","-","-","-","4191.54"
"NIFTY TOTAL MARKET","24 Apr 2020","-","-","-","4130.68"
"NIFTY TOTAL MARKET","23 Apr 2020","-","-","-","4203.54"
"NIFTY TOTAL MARKET","22 Apr 2020","-","-","-","4152.99"
